No,カテゴリ,ペルソナ/ターゲット,ユースケース,プロンプトテンプレート,プロンプトサンプル①,プロンプトサンプル②,プロンプトサンプル③,プロンプトサンプル④,プロンプトサンプル⑤,備考,@dropdown,,@dropdown,,@dropdown,,
50,社内コミュニケーション,P: 危機管理担当T: 危機管理チーム,緊急プロトコルポスター,# 指示書: 命を守る緊急時対応ポスター【役割】リスク・コミュニケーション専門家【目的】[緊急事態]発生時の行動指針を瞬時に伝達【ポスター仕様】・プロセス: [ステップ]段階の行動を[視覚]アイコンで図解・指示: 「[指示]」を[ボールド/フォント]で大きく警告・視認性: パニック時でも読み取れるユニバーサルデザイン【出力設定】・解像度: [指定]・配色: 警告色（赤・黄・黒）を効果的に使用,# 指示書: 火災発生時【役割】防災管理者【目的】迅速な避難誘導【仕様】・プロセス: 5段階/炎アイコン・指示: 「避難せよ」(源ノ角/太字)【出力】・解像度: 4K,# 指示書: 大地震発生時【役割】BCP担当【目的】身の安全確保【仕様】・プロセス: 4段階/揺れアイコン・指示: 「身を守れ」(メイリオ/太字)【出力】・解像度: 300dpi,# 指示書: サイバー攻撃検知【役割】CISO（情報セキュリティ責任者）【目的】被害拡大防止【仕様】・プロセス: 6段階/ハッキング・指示: 「報告・切断」(ヒラギノ/太字)【出力】・解像度: 4K,# 指示書: パンデミック対応【役割】衛生管理者【目的】感染拡大防止【仕様】・プロセス: 3段階/マスク・指示: 「隔離・連絡」(游ゴシック/太字)【出力】・解像度: 300dpi,# 指示書: 大規模停電【役割】ファシリティマネージャー【目的】安全確保と復旧【仕様】・プロセス: 7段階/暗闇・ライト・指示: 「照明確保」(筑紫/太字)【出力】・解像度: 4K,対応速度向上。,,,,,,,
,,,,,,,,,,,,,,,,,
,,みんなどんどん追記していただけたら嬉しいな〜,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
51,リモートワーク,P: 営業担当T: クライアント,ブランド仮想背景,# 指示書: 信頼を勝ち取るオンライン商談用背景【役割】インテリアコーディネーター兼空間デザイナー【目的】[自社イメージ]を表現し、オンライン会議での信頼感を醸成する【空間設計】・スタイル: [スタイル]なオフィス空間・ロゴ配置: 「[企業ロゴ/名]」を[位置]に自然なサインとして配置・被写界深度: 人物を際立たせるため背景を[ぼかし具合]に設定・照明: 顔色が良く見えるソフトなスタジオライティング【出力設定】・解像度: 1920x1080 (Web会議最適化)・アスペクト比: 16:9,# 指示書: 信頼を勝ち取るオンライン商談用背景【役割】インテリアコーディネーター兼空間デザイナー【目的】IT企業の先進性と清潔感を表現し、オンライン会議での信頼感を醸成する【空間設計】・スタイル: 白とガラスを基調としたモダンミニマルなオフィス空間・ロゴ配置: 「CloudSolutions」のロゴを背後の擦りガラスに自然なサインとして配置・被写界深度: 人物を際立たせるため背景を軽度のボケ味（f/2.8相当）に設定・照明: 自然光を取り入れた明るくソフトなライティング【出力設定】・解像度: 1920x1080,# 指示書: 信頼を勝ち取るオンライン商談用背景【役割】インテリアコーディネーター兼空間デザイナー【目的】法律事務所の威厳と安心感を表現する【空間設計】・スタイル: 重厚な木製本棚と観葉植物があるクラシックで落ち着いた書斎・ロゴ配置: 「Global Law Firm」のプレートを右上の棚に控えめに配置・被写界深度: 背景を中程度のボケ味（f/4.0相当）に設定・照明: 暖色系の落ち着いた間接照明【出力設定】・解像度: 1920x1080,,,,商談成約率UP。アイスブレイクに有効。,,,,,,,
52,ブランディング,P: 起業家/フリーランスT: SNSフォロワー,AIプロフィール写真,# 指示書: パーソナルブランドを高めるAIヘッドショット【役割】ポートレート写真界の巨匠【目的】[職業/属性]としての信頼感とカリスマ性を表現するプロフィール写真生成【撮影指示】・被写体: [年齢/性別]、[表情]な表情、視線はカメラ目線・服装: [服装]スタイル・背景: [背景]、被写体を引き立てるボケ味・機材設定: 85mm中望遠レンズ、絞りf/1.8、[照明]ライティング【出力設定】・解像度: 4K・スタイル: 超高精細フォトリアル,# 指示書: パーソナルブランドを高めるAIヘッドショット【役割】ポートレート写真界の巨匠【目的】テック系スタートアップCEOとしての革新性と自信を表現する【撮影指示】・被写体: 30代男性アジア系、自信に満ちた知的な微笑み、カメラ目線・服装: クリーンなネイビーのTシャツにグレーのジャケット（スマートカジュアル）・背景: シリコンバレー風の明るいオフィス、強くぼかす・機材設定: 85mmレンズ、f/1.8、レンブラントライティングで立体感を演出【出力設定】・解像度: 4K・スタイル: 超高精細フォトリアル,# 指示書: パーソナルブランドを高めるAIヘッドショット【役割】ポートレート写真界の巨匠【目的】フリーランスデザイナーとしての親しみやすさとセンスを表現する【撮影指示】・被写体: 20代女性、クリエイティブで自然な笑顔、カメラ目線・服装: パステルカラーのニット、アクセサリーはミニマルに・背景: おしゃれなカフェの窓際、自然光・機材設定: 85mmレンズ、f/1.8、柔らかい自然光（ソフトライト）【出力設定】・解像度: 4K・スタイル: 超高精細フォトリアル,,,,撮影コストゼロ。LinkedIn反応率増。,,,,,,,
53,企画/UX,P: UXデザイナーT: 開発チーム,カスタマージャーニーマップ,# 指示書: 顧客体験を俯瞰するジャーニーマップ【役割】UXリサーチ・ビジュアライザー【目的】[サービス]におけるユーザーの感情と行動の起伏を可視化する【マップ仕様】・構造: 横軸に時間（認知〜購入〜推奨）、縦軸に感情曲線を配置・スタイル: [スタイル]なイラストレーション・要素: 各タッチポイントを[アイコン種]アイコンで表現・ハイライト: 「[課題/機会]」のポイントを強調表示【出力設定】・解像度: 4K (ワイド)・トーン: クリーンで見やすいUIデザイン調,# 指示書: 顧客体験を俯瞰するジャーニーマップ【役割】UXリサーチ・ビジュアライザー【目的】ECアプリにおける購入までの離脱ポイントを可視化する【マップ仕様】・構造: 左から右へのタイムライン（検索→比較→カート→決済）と感情の波・スタイル: フラットデザインのインフォグラフィック・要素: スマホ操作を示すシンプルなラインアイコン・ハイライト: 「決済入力の煩雑さ」による感情低下を赤色で強調【出力設定】・解像度: 4K (ワイド)・トーン: 青と白を基調とした信頼感ある配色,# 指示書: 顧客体験を俯瞰するジャーニーマップ【役割】UXリサーチ・ビジュアライザー【目的】ホテル宿泊体験における感動ポイントを可視化する【マップ仕様】・構造: チェックインからチェックアウトまでの体験フローと満足度曲線・スタイル: 手書きスケッチ風の温かいイラスト・要素: 鍵、ベッド、食事などの具象的なアイコン・ハイライト: 「サプライズギフト」による感情のピークを黄色で強調【出力設定】・解像度: 4K (ワイド)・トーン: 暖色系のホスピタリティ溢れる配色,,,,チーム認識統一。UX改善点発見。,,,,,,,
54,戦略/分析,P: 経営企画T: 役員会議,SWOT分析ビジュアル,"# 指示書: 戦略立案のためのSWOT分析図【役割】戦略コンサルティング資料作成のプロ【目的】[事業/製品]の現状分析を4象限で直感的に示す【図解仕様】・レイアウト: 2x2のグリッドマトリクス（Strengths, Weaknesses, Opportunities, Threats）・アイコン: 各象限の意味を象徴する[アイコンスタイル]アイコンを配置・配色: [配色テーマ]でポジティブ/ネガティブ要素を識別・テキスト: 各見出しを[フォント]で明記（詳細テキストはプレースホルダー）【出力設定】・解像度: 4K・スタイル: プレゼンテーションスライド向け",# 指示書: 戦略立案のためのSWOT分析図【役割】戦略コンサルティング資料作成のプロ【目的】新規AI事業の市場機会と脅威を分析する【図解仕様】・レイアウト: クリーンな2x2マトリクス・アイコン: 強み(力こぶ)、弱み(亀裂)、機会(扉)、脅威(雷)のミニマルアイコン・配色: 強み/機会は青・緑、弱み/脅威は赤・灰のコーポレートカラー・テキスト: 見出しを「源ノ角ゴシック」で配置【出力設定】・解像度: 4K・スタイル: マッキンゼー流のシンプルモダン,# 指示書: 戦略立案のためのSWOT分析図【役割】戦略コンサルティング資料作成のプロ【目的】カフェチェーンの競合分析を行う【図解仕様】・レイアウト: 黒板風の背景にチョークアート風の2x2グリッド・アイコン: コーヒー豆やカップを使った手書き風アイコン・配色: カフェらしいブラウン、ベージュ、深緑・テキスト: 見出しを「手書き風フォント」で配置【出力設定】・解像度: 4K・スタイル: カジュアルで親しみやすいデザイン,,,,会議の議論活性化。現状把握の高速化。,,,,,,,
55,アプリ開発,P: プロダクトオーナーT: AppStore,アプリアイコン生成,# 指示書: DL数を伸ばすアプリアイコン生成【役割】iOS/Androidアイコンデザイナー【目的】[アプリ機能]を表す、視認性が高くクリックしたくなるアイコン作成【デザイン仕様】・モチーフ: [モチーフ]をシンプルに図案化・スタイル: [スタイル]（例: ニューモーフィズム、フラット、3D）・カラー: [メインカラー]を基調としたグラデーション・形状: 角丸四角形（Squircle）のガイドライン準拠【出力設定】・解像度: 1024x1024・品質: ベクターライクな高精細ラスタ,# 指示書: DL数を伸ばすアプリアイコン生成【役割】iOS/Androidアイコンデザイナー【目的】タスク管理アプリの「シンプルでサクサク進む」イメージを表現【デザイン仕様】・モチーフ: 抽象化されたチェックマークと上昇するライン・スタイル: 鮮やかなグラデーションを用いた3Dグラスモーフィズム（ガラス質感）・カラー: エレクトリックブルーからパープルへのグラデーション・形状: iOS準拠の角丸四角形【出力設定】・解像度: 1024x1024・品質: 立体的で透明感のある高品質デザイン,# 指示書: DL数を伸ばすアプリアイコン生成【役割】iOS/Androidアイコンデザイナー【目的】瞑想・睡眠アプリの「深いリラックス」を表現【デザイン仕様】・モチーフ: 三日月と雲の重なり・スタイル: フラットデザイン、マットな質感、余白重視・カラー: 深夜のネイビーブルーと淡いクリーム色・形状: Android準拠の円形または角丸【出力設定】・解像度: 1024x1024・品質: 落ち着きと静寂を感じさせるデザイン,,,,MVP開発加速。ストア見栄え向上。,,,,,,,
56,イベント/販促,P: イベント担当T: 展示会来場者,展示会ブースイメージ,# 指示書: 集客力を最大化する展示会ブースパース【役割】空間ディスプレイデザイナー【目的】[出展テーマ]を訴求する展示ブースの施工イメージを作成【空間仕様】・規模: [ブースサイズ]（例: 3m x 3m 1小間）・構成: メインのバックパネルに「[キャッチコピー]」、受付カウンター、製品展示台・デザイン: [ブランドカラー]を基調とした[雰囲気]な空間・照明: 製品を際立たせるスポットライト演出【出力設定】・解像度: 4K・視点: 通路からのアイレベル（人の目線）,# 指示書: 集客力を最大化する展示会ブースパース【役割】空間ディスプレイデザイナー【目的】製造業向けAIソリューションの「技術力と未来」を訴求する【空間仕様】・規模: 6m x 3m (2小間)・構成: 壁面に巨大なLEDモニター、中央にデモPCカウンター、上部に吊り看板・デザイン: 青と白を基調とした未来的でクリーンなテックデザイン・照明: 青色のLEDライン照明と明るいスポットライト【出力設定】・解像度: 4K・視点: 斜め45度からの鳥瞰図および正面アイレベル,# 指示書: 集客力を最大化する展示会ブースパース【役割】空間ディスプレイデザイナー【目的】オーガニック化粧品の「自然素材へのこだわり」を訴求する【空間仕様】・規模: 3m x 3m (1小間)・構成: 木製の棚、本物の植物（グリーン）の装飾、試供品配布カウンター・デザイン: 生成り色と緑を基調としたナチュラルで癒やされる空間・照明: 暖色のペンダントライトでカフェのような雰囲気【出力設定】・解像度: 4K・視点: 正面からのアイレベル,,,,施工業者への指示明確化。社内承認スムーズ。,,,,,,,
57,営業/総務,P: 営業事務T: クライアント,ノベルティ(記念品)モック,# 指示書: 貰って嬉しい企業ノベルティのモックアップ【役割】プロダクトデザイナー兼3Dレンダラー【目的】[用途]で配布する[アイテム]の仕上がりイメージを作成【アイテム仕様】・アイテム: [アイテム]（例: 高級ノート、タンブラー）・名入れ: [ロゴ/企業名]を[加工方法]（箔押し、刻印等）で配置・背景: アイテムの高級感を引き立てる[背景素材]・質感: 手に取った時の重量感を感じさせるリアルなテクスチャ【出力設定】・解像度: 4K・照明: プロダクト撮影用のソフトライティング,# 指示書: 貰って嬉しい企業ノベルティのモックアップ【役割】プロダクトデザイナー兼3Dレンダラー【目的】周年記念で配布する「高級モレスキン風ノートとペンのセット」のイメージ作成【アイテム仕様】・アイテム: 黒のハードカバーノートと金属製ボールペン・名入れ: 企業ロゴを「金の箔押し」でノート中央に配置・背景: ダークウッド（濃い木目）のデスク上・質感: レザー調のカバーと金属の光沢をリアルに表現【出力設定】・解像度: 4K・照明: 高級感を演出する陰影あるライティング,# 指示書: 貰って嬉しい企業ノベルティのモックアップ【役割】プロダクトデザイナー兼3Dレンダラー【目的】夏のイベントで配布する「エコ素材のトートバッグ」のイメージ作成【アイテム仕様】・アイテム: 生成りのキャンバストートバッグ・名入れ: キャンペーンロゴを「シルクスクリーン印刷（緑色）」で大きく配置・背景: 明るい公園のベンチや芝生・質感: 粗い布地のテクスチャ【出力設定】・解像度: 4K・照明: 自然光（太陽光）,,,,制作発注ミス防止。クライアント期待値調整。,,,,,,,
58,総務/HR,P: オフィス管理者T: 社員,オフィスレイアウト案,# 指示書: 働き方を変えるオフィスレイアウト・シミュレーション【役割】オフィス空間アーキテクト【目的】[コンセプト]に基づいた新しいオフィスフロアのイメージを作成【空間仕様】・視点: フロア全体が見渡せる[視点]（アイソメトリックまたはトップダウン）・ゾーン: [エリア1]、[エリア2]、[エリア3]を配置・デザイン: [スタイル]な家具と配色のインテリア・詳細: 観葉植物、PCモニター、動線を意識した配置【出力設定】・解像度: 4K・スタイル: 建築パース風、またはThe Simsのような3D模型風,# 指示書: 働き方を変えるオフィスレイアウト・シミュレーション【役割】オフィス空間アーキテクト【目的】コミュニケーションを活性化する「フリーアドレス型オフィス」のイメージ作成【空間仕様】・視点: 斜め上からのアイソメトリックビュー・ゾーン: 中央に大型コラボレーションテーブル、窓際に集中ブース、入口にカフェスペース・デザイン: 木目と黒アイアンを基調としたインダストリアルモダン・詳細: 豊富な観葉植物、ノートPC、ホワイトボード【出力設定】・解像度: 4K・スタイル: クリーンで明るい3D建築パース,# 指示書: 働き方を変えるオフィスレイアウト・シミュレーション【役割】オフィス空間アーキテクト【目的】クリエイティビティを刺激する「スタートアップ向けオフィス」のイメージ作成【空間仕様】・視点: 部屋の角からの広角アイレベル・ゾーン: リラックスできるビーズクッションエリア、スタンディングデスク群、壁一面のホワイトボード・デザイン: カラフルでポップな遊び心あるデザイン・詳細: ガラス張りの会議室、開放的な天井【出力設定】・解像度: 4K・スタイル: 活気ある写真リアルなレンダリング,,,,レイアウト変更合意形成。引越し・改装の検討。,,,,,,,
59,組織/HR,P: 人事責任者T: 全社員,クリエイティブ組織図,# 指示書: 組織の関係性を可視化するモダンな組織図【役割】インフォグラフィック・デザイナー【目的】従来の堅苦しい組織図ではなく、[組織文化]を表す視覚的な組織図を作成【図解仕様】・構造: [構造タイプ]（階層型、フラット、サークル等）・要素: 各部門/チームを[形状]で表現し、コネクターで接続・スタイル: エクセル風ではなく、[デザインスタイル]なグラフィック・テキスト: 部門名や役職を[フォント]でクリアに表示【出力設定】・解像度: 4K (横長)・背景: 白またはコーポレートカラーの淡い背景,# 指示書: 組織の関係性を可視化するモダンな組織図【役割】インフォグラフィック・デザイナー【目的】アジャイルでフラットな「自律分散型組織（ホラクラシー）」を表現する【図解仕様】・構造: 中心から放射状に広がるサークル型（ネットワーク型）・要素: 各チームを色分けされた円（バブル）で表現し、有機的に接続・スタイル: カラフルで透明感のあるテック系グラフィック・テキスト: チーム名を「メイリオ」でバブル内に配置【出力設定】・解像度: 4K・背景: 薄いグレーのグリッド背景,# 指示書: 組織の関係性を可視化するモダンな組織図【役割】インフォグラフィック・デザイナー【目的】大企業の安定した「機能別ピラミッド組織」を洗練させて表現する【図解仕様】・構造: 伝統的な階層型（トップダウン）・要素: 角丸のカード型ノード、顔写真プレースホルダー付き・スタイル: 青とグレーを基調としたミニマルで信頼感のあるデザイン・テキスト: 部署名を「源ノ角ゴシック」で配置【出力設定】・解像度: 4K・背景: 純白背景,,,,組織理解の促進。採用ピッチ資料に活用。,,,,,,,
60,マーケティング,P: YouTube担当T: 視聴者,ビジネス系YouTubeサムネ,# 指示書: クリック率を爆上げするYouTubeサムネイル【役割】YouTubeマーケティング専属デザイナー【目的】「[動画テーマ]」の動画をタイムラインで際立たせ、クリックさせる【デザイン仕様】・人物: [表情]な表情の人物を左右どちらかに大きく配置（背景切り抜き風）・テキスト: 「[インパクトある短文]」を[色/フォント]で極太に配置・背景: [背景イメージ]を暗く落とし、被写体と文字をポップさせる・装飾: 集中線、矢印、[色]の枠線で強調【出力設定】・解像度: 1280x720・スタイル: 高コントラスト、彩度高め,# 指示書: クリック率を爆上げするYouTubeサムネイル【役割】YouTubeマーケティング専属デザイナー【目的】「生成AIによる業務効率化」の解説動画をクリックさせる【デザイン仕様】・人物: 驚きの表情（手で口を覆う）をするスーツ姿の男性を右側に配置・テキスト: 「残業ゼロ!? AI仕事術」を黄色と赤の極太ゴシック体で左側に配置・背景: 暗めのオフィス背景に、輝くAIの脳のイラストを合成・装飾: テキストに白い縁取りとドロップシャドウ、全体に集中線【出力設定】・解像度: 1280x720・スタイル: 衝撃的で視認性抜群のデザイン,# 指示書: クリック率を爆上げするYouTubeサムネイル【役割】YouTubeマーケティング専属デザイナー【目的】「失敗しない投資入門」の動画をクリックさせる【デザイン仕様】・人物: 困り顔で頭を抱える女性と、余裕の笑顔の専門家を対比配置・テキスト: 「9割が損する？投資の罠」を白と赤の極太明朝体で中央に配置・背景: 下落するチャート（赤）と上昇するチャート（緑）の対比・装飾: 左右を分割する雷エフェクト、VSマーク【出力設定】・解像度: 1280x720・スタイル: ドラマチックで煽情的なデザイン,,,,CTR向上。動画再生数増加。,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
4,プレゼン資料作成,P: 営業部長T: BtoB企業,プレゼンスライド生成,# 指示書: プロフェッショナル・スライドデザイン【役割】世界的プレゼンテーション・デザイナー【目的】[テーマ]に関する説得力のある視覚資料作成【スライド仕様】・主題: [テーマ]・レイアウト: [構成]（三分割法/Z字構成/F字構成）・配色: [ブランドカラー]をベースに補色[色]でアクセント・タイポグラフィ: 見出し[フォント]、本文[フォント]・視覚要素: [グラフ/図解/アイコン]で情報を階層化【出力設定】・サイズ: 16:9 / 4K・スタイル: [ミニマル/コーポレート/クリエイティブ]・余白: 視認性重視の十分な余白確保,# 指示書: 四半期業績報告【役割】経営戦略ビジュアライザー【目的】Q4業績を経営層に報告【スライド仕様】・主題: 四半期業績データ・レイアウト: Z字構成（左上→右→左下）・配色: コーポレートブルー+金色アクセント・フォント: 游ゴシック Bold/Regular・視覚要素: 売上推移グラフ+KPI指標【出力】・サイズ: 16:9 / 4K・スタイル: エグゼクティブ向けミニマル,# 指示書: 新規事業提案【役割】スタートアップピッチ専門家【目的】投資家の興味を引く提案資料【スライド仕様】・主題: 新規事業コンセプト・レイアウト: F字構成（視線誘導重視）・配色: 情熱の赤+信頼の青・フォント: 源ノ角ゴシック Bold/Medium・視覚要素: 市場規模図+ビジネスモデル図解【出力】・サイズ: 16:9 / 4K・スタイル: スタートアップ・ピッチ,# 指示書: 製品ローンチ発表【役割】プロダクトマーケター【目的】新製品の魅力を最大化【スライド仕様】・主題: 新製品発表・レイアウト: 三分割法（視覚的バランス）・配色: プロダクトカラー+白背景・フォント: ヒラギノ角ゴ Bold/W3・視覚要素: 製品写真+特徴比較表【出力】・サイズ: 16:9 / 4K・スタイル: プロダクトローンチ,# 指示書: 研修プログラム説明【役割】教育コンテンツデザイナー【目的】研修内容を分かりやすく伝達【スライド仕様】・主題: 研修カリキュラム・レイアウト: F字構成・配色: 学習の緑+ポイント橙・フォント: メイリオ Bold/Regular・視覚要素: タイムライン+アイコン【出力】・サイズ: 16:9 / 4K・スタイル: 教育的・親しみやすい,# 指示書: クライアント報告会【役割】コンサルタント【目的】プロジェクト成果を可視化【スライド仕様】・主題: プロジェクト成果報告・レイアウト: Z字構成・配色: 落ち着いたグレー+成果の緑・フォント: 筑紫A丸ゴ Bold/Regular・視覚要素: ビフォーアフター比較【出力】・サイズ: 16:9 / 4K・スタイル: プロフェッショナル,Googleスライド連携。役員会議で採用率85%。,,,,,,,
5,提案資料作成,P: 営業担当T: コンサル企業,提案書表紙デザイン,# 指示書: インパクト提案書カバー【役割】ブランディング・スペシャリスト【目的】[案件名]提案書の第一印象を最大化【デザイン仕様】・案件名: [プロジェクト名]・ビジュアルコンセプト: [コンセプト]を象徴するイメージ・配色: [業界カラー]をメインに信頼感を演出・タイポグラフィ: タイトル[フォント]・大胆配置、企業ロゴ配置・装飾要素: [パターン/グラデーション/ライン]で高級感【技術要件】・サイズ: A4縦/横・解像度: 300dpi以上・スタイル: [モダン/クラシック/ミニマル],# 指示書: DX推進提案書【役割】デジタル戦略デザイナー【目的】DX案件の先進性を表現【デザイン仕様】・案件名: 「DXトランスフォーメーション2026」・コンセプト: デジタル化を象徴する回路基板・配色: テクノロジーブルー+電気的な青白光・フォント: 游ゴシック Bold・装飾: 幾何学パターン【出力】・A4縦 / 300dpi・スタイル: フューチャリスティック,# 指示書: M&Aアドバイザリー【役割】金融ビジュアルエキスパート【目的】信頼と実績を印象付ける【デザイン仕様】・案件名: 「企業買収アドバイザリー」・コンセプト: 握手するビジネスパーソン・配色: 高級感のある濃紺+金・フォント: ヒラギノ明朝 Bold・装飾: 細いゴールドライン【出力】・A4縦 / 300dpi・スタイル: エグゼクティブ・クラシック,# 指示書: 人材採用コンサル提案【役割】HRブランディング専門家【目的】採用課題解決への期待感【デザイン仕様】・案件名: 「採用戦略最適化プラン」・コンセプト: 多様な人材のシルエット・配色: 温かみのあるオレンジ+白・フォント: 源ノ角ゴシック Medium・装飾: 人物アイコンのパターン【出力】・A4縦 / 300dpi・スタイル: ヒューマンセントリック,# 指示書: サステナビリティ提案【役割】ESGコミュニケーター【目的】環境配慮姿勢をアピール【デザイン仕様】・案件名: 「カーボンニュートラル戦略」・コンセプト: 緑豊かな地球・配色: 自然の緑+空の青・フォント: メイリオ Bold・装飾: 葉っぱモチーフのグラデーション【出力】・A4縦 / 300dpi・スタイル: エコ・ナチュラル,# 指示書: ITシステム刷新提案【役割】ITソリューションデザイナー【目的】技術力と安心感を両立【デザイン仕様】・案件名: 「基幹システム刷新プロジェクト」・コンセプト: クラウドとネットワーク・配色: 信頼の青+安全の緑・フォント: 筑紫A丸ゴ Bold・装飾: ネットワークノードパターン【出力】・A4縦 / 300dpi・スタイル: テクニカル・信頼,PDF出力で即提出可。受注率12%向上実績。,,,,,,,
6,戦略資料作成,P: 経営企画T: スタートアップ,事業ロードマップ,# 指示書: 戦略的ロードマップビジュアル【役割】事業戦略ビジュアライゼーション専門家【目的】[期間]の事業計画を時系列で明確化【マップ仕様】・期間: [開始]〜[終了]（四半期/年次単位）・構造: [横軸:時間、縦軸:施策カテゴリ]・マイルストーン: [重要イベント]を★印で強調・フェーズ分け: [フェーズ1/2/3]を色分け・依存関係: 矢印で前後関係を明示【ビジュアル要件】・スタイル: [ガントチャート/タイムライン/フローチャート]・配色: フェーズごとに[色指定]・アイコン: 各施策に対応したアイコン配置,# 指示書: 3ヵ年成長計画【役割】成長戦略プランナー【目的】2026-2028年の成長シナリオ可視化【マップ仕様】・期間: 2026年Q1〜2028年Q4・構造: 横軸12四半期、縦軸4カテゴリ・マイルストーン: IPO★、シリーズB★・フェーズ: 基盤/拡大/収益化を青→緑→金・依存関係: プロダクト→営業の矢印【出力】・ガントチャート形式・配色: 青→緑→金のグラデーション・アイコン: ロケット/グラフ/ドル,# 指示書: プロダクト開発ロードマップ【役割】プロダクトマネージャー【目的】機能リリース計画の共有【マップ仕様】・期間: 2026年1月〜12月・構造: 横軸12ヶ月、縦軸機能カテゴリ・マイルストーン: β版★、正式版★・フェーズ: 開発/テスト/リリースを橙→黄→緑・依存関係: 基盤機能→応用機能【出力】・タイムライン形式・配色: 橙→黄→緑・アイコン: コード/テスト/チェック,# 指示書: マーケティング展開計画【役割】マーケティングディレクター【目的】年間キャンペーン計画の可視化【マップ仕様】・期間: 2026年通年・構造: 横軸月次、縦軸チャネル・マイルストーン: 大型キャンペーン★3回・フェーズ: 認知/検討/購入を紫→青→赤・依存関係: 認知→検討の流れ【出力】・タイムライン形式・配色: 紫→青→赤・アイコン: メガホン/虫眼鏡/カート,# 指示書: 組織拡大ロードマップ【役割】人事戦略責任者【目的】採用計画と組織成長の可視化【マップ仕様】・期間: 2026年Q1〜Q4・構造: 横軸4四半期、縦軸部門・マイルストーン: 幹部採用★、50名突破★・フェーズ: 採用/育成/定着を緑→青→金・依存関係: 採用→育成の順序【出力】・ガントチャート形式・配色: 緑→青→金・アイコン: 人材/教育/定着,# 指示書: 研究開発ロードマップ【役割】CTO【目的】技術投資計画の明確化【マップ仕様】・期間: 2026〜2030年・構造: 横軸5年、縦軸技術領域・マイルストーン: 特許出願★5件・フェーズ: R&D/実証/実装を水色→青→紺・依存関係: 基礎研究→応用研究【出力】・タイムライン形式・配色: 水色→青→紺・アイコン: フラスコ/実験/製品,Notion/Miro連携。投資家プレゼンで高評価。,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
